brand_id,product_id,varientName,exShowroomPrice,VarientRanking,FeatureExplained,active,seater,fuel,transmission,GNCAP,EngineName,Highlight,summary,automatic,iMT,manual,images,imageText,Ventilated_Seats,Air_Purifier,Cruise_Control,Rain_Sensing_Wipers,sunroof,automaticHeadLamp,Follow_Me_Home_Headlights,keyLess_Entry,ignition,Ambient_Lighting,Steering_Adjustment,Air_Conditioning,Climate_Zones,rearACvent,frontArmrest,rearArmrest,IVRM,OVRM,Steering_Mounted_Controls,Rear_Windshield_Defogger,Front_Windshield_Defogger,Cooled_Glovebox,Global_NCAP_Rating,airbags,airbagLocation,ADAS,ADAS_Features,Reverse_Camera,Reverse_Camera_Guidelines,TMPS,Hill_Hold_Assist,Hill_Descent_Control,Roll_Over_Mitigation,Disc_Brakes,ESP,ABS,EBD,Brake_assist,ISOFIX_Mounts,Driver_CoDriver_Seatbelt_Warning,High_speed_Alert_System,Speed_Sensing_Door_Locks,Immobiliser,Parking_Sensor,Touch_Screen_Infotainment,Android_Apple_Carplay,Speakers,tweeters,subWoofers,USB_C_PORT,FiveAmpiearchargingport,charging12V_Port,wireless_Charging,connectedCarTech,engine_Name,Engine_Capacity,fuel,transmission,number_of_Gears,paddle_shifter,max_power,torque,speed_0_to_100,top_speed,EV_Battry_capacity,Hybrid_Capacity,Battery_type,Electric_Motor_placement,EV_Range,EV_Charging_time,Max_Electric_Motor_Power,Turbo_Charged,Hybrid_Type,driveTrain,Driving_Modes,offRoadModes,Differential_Lock_Type,Limited_Slip_Differential,Seat_Upholstery,Seats_Adjustment,Driver_Seat_Adjustment,Passenger_Seat_Adjustment,Rear_Seat_Adjustment,Welcome_Seats,Memory_Seats,headLight,tailLight,radioAntina,OVRMColor,DRL,sideIndicator,rear_windsheeld_wiper,Ground_Clearance,Length,Weidth,Height,wheelBase,turningRadious,Kerb_Weight,Front_Tyre_Profile,Rear_Tyre_Profile,Spare_Tyre_Profile,Front_Suspension,Rear_Suspension,Cupholders,Fuel_Tank_Capacity,boot_Space,Boot_Space_after,Engine_Name_Varient,Company_Claimed,City_Real_World,Highway_Real_World
6603da967a246cf5df82027f,65fe7a708cbe342d88a2dddf,STD,399000,Base,"<ul><li><span style=""color: rgb(0, 0, 0);"">Dual Airbags</span></li><li><span style=""color: rgb(0, 0, 0);""> ABS With EBD</span></li><li><span style=""color: rgb(0, 0, 0);""> Reverse Parking Sensors</span></li><li><span style=""color: rgb(0, 0, 0);""> Headlamp Leveling</span></li><li><span style=""color: rgb(0, 0, 0);""> Collapsible Steering Wheel</span></li><li><span style=""color: rgb(0, 0, 0);""> Digital Speedo Meter</span></li><li><span style=""color: rgb(0, 0, 0);""> Cabin Air Filter</span></li></ul>",TRUE,5,Petrol,Manual,NA,1 Litre Petrol,An allrounder,"<ul><li><span style=""color: rgb(0, 0, 0);"">Great motor with good performance and fun to drive.</span></li></ul>",,,66 Bhp\r\n89 Nm\r\n5-Speed,,,NA,NA,NA,NA,NA,NA,NA,NA,Key Start,NA,NA,NA,NA,NA,NA,NA,No Setting,Manually Adjustable,NA,NA,NA,NA,NA,2,"<ul><li><span style=""color: rgb(0, 0, 0);"">Driver Airbag And Passenger Airbag</span></li></ul>",NA,"<ul><li><span style=""color: rgb(0, 0, 0);"">NA</span></li></ul>",NA,NA,NA,NA,NA,NA,2,NA,Yes,Yes,NA,Rear,Yes,Yes,Yes,Standard,Rear,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,K10C,998,Petrol,Manual,5,NA,66,89,13.3,140,NA,NA,NA,NA,NA,NA,NA,Non-Turbo,NA,Front Wheel Drive,NA,NA,NA,NA,Fabrics,Manually Adjustable,4-Way,4-Way,NA,NA,NA,Halogen,Halogen Bulb,NA,NA,NA,On Fender,NA,160,3530,1490,1520,2380,4.5,760,145/80 R13,145/80 R13,145/80 R13,McPherson strut with Coil,Coupled Torsion Beam Axle with Coil Spring,Yes,27,214,,1 Litre Petrol,24.39,17.39,21.39
6603da967a246cf5df82027f,65fe7a708cbe342d88a2dddf,LXI,483500,Base,"<ul><li><span style=""color: rgb(0, 0, 0);"">Dual Airbags</span></li><li><span style=""color: rgb(0, 0, 0);""> ABS With EBD</span></li><li><span style=""color: rgb(0, 0, 0);""> Reverse Parking Sensors</span></li><li><span style=""color: rgb(0, 0, 0);""> Headlamp Leveling</span></li><li><span style=""color: rgb(0, 0, 0);""> Collapsible Steering Wheel</span></li><li><span style=""color: rgb(0, 0, 0);""> Digital Speedo Meter</span></li><li><span style=""color: rgb(0, 0, 0);""> Cabin Air Filter</span></li></ul>",TRUE,5,Petrol,Manual,NA,1 Litre Petrol,Best for those seeking mileage,"<ul><li><span style=""color: rgb(0, 0, 0);"">engine is best used for sedate and smooth driving. Its does not like harsh acceleration and has bad NVH levels further up the rev range</span></li></ul>",,,66 Bhp\r\n89 Nm\r\n5-Speed,,,NA,NA,NA,NA,NA,NA,NA,NA,Key Start,NA,NA,Manual,NA,NA,NA,NA,No Setting,Manually Adjustable,NA,NA,Yes,NA,NA,2,"<ul><li><span style=""color: rgb(0, 0, 0);"">Driver Airbag And Passenger Airbag</span></li></ul>",NA,"<ul><li><span style=""color: rgb(0, 0, 0);"">NA</span></li></ul>",NA,NA,NA,NA,NA,NA,2,NA,Yes,Yes,NA,Rear,Yes,Yes,Yes,Standard,Rear,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,K10C,998,Petrol,Manual,5,NA,66,89,13.3,140,NA,NA,NA,NA,NA,NA,NA,Non-Turbo,NA,Front Wheel Drive,NA,NA,NA,NA,Fabrics,Manually Adjustable,4-Way,4-Way,NA,NA,NA,Halogen,Halogen Bulb,NA,NA,NA,On Fender,NA,160,3530,1490,1520,2380,4.5,760,145/80 R13,145/80 R13,145/80 R13,McPherson strut with Coil,Coupled Torsion Beam Axle with Coil Spring,Yes,27,214,,1 Litre Petrol,24.39,17.39,21.39
6603da967a246cf5df82027f,65fe7a708cbe342d88a2dddf,VXI,506000,Mid,"<ul><li><span style=""color: rgb(0, 0, 0);"">Media Receiver (AM/FM/Bluetooth)</span></li><li><span style=""color: rgb(0, 0, 0);""> Front Power Windows</span></li></ul>",TRUE,5,Petrol,Manual,NA,1 Litre Petrol,Best for enthusiasts,"<ul><li><span style=""color: rgb(0, 0, 0);"">Powerful with great low end torque. Decent fuel efficency but can be a great highway crusier and city car too with it's automatic gearbox</span></li></ul>",,,66 Bhp\r\n89 Nm\r\n5-Speed,,,NA,NA,NA,NA,NA,NA,NA,NA,Key Start,NA,NA,Manual,NA,NA,NA,NA,No Setting,Manually Adjustable,NA,NA,Yes,NA,NA,2,"<ul><li><span style=""color: rgb(0, 0, 0);"">Driver Airbag And Passenger Airbag</span></li></ul>",NA,"<ul><li><span style=""color: rgb(0, 0, 0);"">NA</span></li></ul>",NA,NA,NA,NA,NA,NA,2,NA,Yes,Yes,NA,Rear,Yes,Yes,Yes,Standard,Rear,NA,NA,2,NA,NA,NA,NA,1,NA,NA,K10C,998,Petrol,Manual,5,NA,66,89,13.3,140,NA,NA,NA,NA,NA,NA,NA,Non-Turbo,NA,Front Wheel Drive,NA,NA,NA,NA,Fabrics,Manually Adjustable,4-Way,4-Way,NA,NA,NA,Halogen,Halogen Bulb,NA,NA,NA,On Fender,NA,160,3530,1490,1520,2380,4.5,760,145/80 R13,145/80 R13,145/80 R13,McPherson strut with Coil,Coupled Torsion Beam Axle with Coil Spring,Yes,27,214,,1 Litre Petrol,24.39,17.39,21.39
6603da967a246cf5df82027f,65fe7a708cbe342d88a2dddf,VXI AMT,561000,Mid,"<ul><li><span style=""color: rgb(0, 0, 0);"">Media Receiver (AM/FM/Bluetooth)</span></li><li><span style=""color: rgb(0, 0, 0);""> Front Power Windows</span></li><li><span style=""color: rgb(0, 0, 0);""> Gear Position Indicator</span></li><li><span style=""color: rgb(0, 0, 0);""> Internally Adjustable ORVMs</span></li><li><span style=""color: rgb(0, 0, 0);""> Body Colored Bumper</span></li><li><span style=""color: rgb(0, 0, 0);""> Body Colored Door Handles</span></li></ul>",TRUE,5,Petrol,AMT,NA,1 Litre Petrol,An allrounder,"<ul><li><span style=""color: rgb(0, 0, 0);"">Great motor with good performance and fun to drive.</span></li></ul>",66 Bhp\r\n89 Nm\r\n5-Speed,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Key Start,NA,NA,Manual,NA,NA,NA,NA,No Setting,Manually Adjustable,NA,NA,Yes,NA,NA,2,"<ul><li><span style=""color: rgb(0, 0, 0);"">Driver Airbag And Passenger Airbag</span></li></ul>",NA,"<ul><li><span style=""color: rgb(0, 0, 0);"">NA</span></li></ul>",NA,NA,NA,NA,NA,NA,2,NA,Yes,Yes,NA,Rear,Yes,Yes,Yes,Standard,Rear,NA,NA,2,NA,NA,NA,NA,1,NA,NA,K10C,998,Petrol,AMT,5,NA,66,89,13.3,140,NA,NA,NA,NA,NA,NA,NA,Non-Turbo,NA,Front Wheel Drive,NA,NA,NA,NA,Fabrics,Manually Adjustable,4-Way,4-Way,NA,NA,NA,Halogen,Halogen Bulb,Regular,Body Coloured,NA,On Fender,NA,160,3530,1490,1520,2380,4.5,760,145/80 R13,145/80 R13,145/80 R13,McPherson strut with Coil,Coupled Torsion Beam Axle with Coil Spring,Yes,27,214,,1 Litre Petrol,24.9,17.9,21.9
6603da967a246cf5df82027f,65fe7a708cbe342d88a2dddf,Sigma,661000,Base,"<ul><li><span style=""color: rgb(0, 0, 0);"">NEXA Signature LED Tail Lamps</span></li><li><span style=""color: rgb(0, 0, 0);""> Back Door Spoiler</span></li><li><span style=""color: rgb(0, 0, 0);""> Body Coloured Bumpers</span></li><li><span style=""color: rgb(0, 0, 0);""> Driver Side Power Window Auto Up/Down With Pinch Guard</span></li><li><span style=""color: rgb(0, 0, 0);""> Central Locking & Keyless Entry</span></li><li><span style=""color: rgb(0, 0, 0);""> Rear Defogger</span></li><li><span style=""color: rgb(0, 0, 0);""> ABS With EBD Brake Assist</span></li><li><span style=""color: rgb(0, 0, 0);""> Reverse Parking Sensors </span></li></ul>",TRUE,5,Petrol,Manual,NA,1.2 Litre Petrol,An allrounder,"<ul><li><span style=""color: rgb(0, 0, 0);"">Great motor with good performance and fun to drive.</span></li></ul>",,,88 Bhp\r\n113 Nm\r\n5-Speed,,,NA,NA,NA,NA,NA,NA,NA,Remote Keyless Entry,Key Start,NA,Tilt Adjustment,Auto,Single Zone,NA,NA,NA,Manual,Manually Adjustable,NA,NA,Yes,NA,NA,2,"<ul><li><span style=""color: rgb(0, 0, 0);"">Driver Airbag And Passenger Airbag</span></li></ul>",NA,"<ul><li><span style=""color: rgb(0, 0, 0);"">NA</span></li></ul>",NA,NA,NA,Yes,NA,NA,2,Yes,Yes,Yes,Yes,Rear,Yes,Yes,Yes,Standard,Rear,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.2L VVT,1197,Petrol,Manual,5,NA,88,113,12.1,180,NA,NA,NA,NA,NA,NA,NA,Non-Turbo,NA,Front Wheel Drive,NA,NA,NA,NA,Fabrics,Manually Adjustable,6-Way,6-Way,NA,NA,NA,Halogen Projector,LED,Regular,NA,NA,On Fender,NA,170,3990,1745,1500,2520,4.85,955,185/65 R15,185/65 R15,185/65 R15,McPherson strut with Coil,Coupled Torsion Beam Axle with Coil Spring,Yes,37,318,,1.2 Litre Petrol,22.3,15.3,19.3
6603da967a246cf5df82027f,65fe7a708cbe342d88a2dddf,Delta,745000,Base,"<ul><li><span style=""color: rgb(0, 0, 0);"">Full Wheel Cover</span></li><li><span style=""color: rgb(0, 0, 0);""> Nexwave Grille With Chrome Finish</span></li><li><span style=""color: rgb(0, 0, 0);""> Body Coloured Door Handles</span></li><li><span style=""color: rgb(0, 0, 0);""> Steering Mounted Audio Controls</span></li><li><span style=""color: rgb(0, 0, 0);""> 17.78 Cm Touch-Screen</span></li><li><span style=""color: rgb(0, 0, 0);""> 4-Speakers</span></li><li><span style=""color: rgb(0, 0, 0);""> Electrically Foldable & Adjustable ORVMs</span></li></ul>",TRUE,5,Petrol,Manual,NA,1.2 Litre Petrol,Best for those seeking mileage,"<ul><li><span style=""color: rgb(0, 0, 0);"">engine is best used for sedate and smooth driving. Its does not like harsh acceleration and has bad NVH levels further up the rev range</span></li></ul>",,,88 Bhp\r\n113 Nm\r\n5-Speed,,,NA,NA,NA,NA,NA,NA,NA,Remote Keyless Entry,Key Start,NA,Tilt Adjustment,Auto,Single Zone,NA,NA,NA,Manual,Manually Adjustable,Yes,NA,Yes,NA,NA,2,"<ul><li><span style=""color: rgb(0, 0, 0);"">Driver Airbag And Passenger Airbag</span></li></ul>",NA,"<ul><li><span style=""color: rgb(0, 0, 0);"">NA</span></li></ul>",NA,NA,NA,Yes,NA,NA,2,Yes,Yes,Yes,Yes,Rear,Yes,Yes,Yes,Standard,Rear,7,Wired,4,NA,NA,NA,1,2,NA,NA,1.2L VVT,1197,Petrol,Manual,5,NA,88,113,12.1,180,NA,NA,NA,NA,NA,NA,NA,Non-Turbo,NA,Front Wheel Drive,NA,NA,NA,NA,Fabrics,Manually Adjustable,6-Way,6-Way,NA,NA,NA,Halogen Projector,LED,Regular,Body Coloured,NA,On ORVM,NA,170,3990,1745,1500,2520,4.85,955,185/65 R15,185/65 R15,185/65 R15,McPherson strut with Coil,Coupled Torsion Beam Axle with Coil Spring,Yes,37,318,,1.2 Litre Petrol,22.3,15.3,19.3
6603da967a246cf5df82027f,65fe7a708cbe342d88a2dddf,Delta CNG,835000,Base,"<ul><li><span style=""color: rgb(0, 0, 0);"">Full Wheel Cover</span></li><li><span style=""color: rgb(0, 0, 0);""> Nexwave Grille With Chrome Finish</span></li><li><span style=""color: rgb(0, 0, 0);""> Body Coloured Door Handles</span></li><li><span style=""color: rgb(0, 0, 0);""> Steering Mounted Audio Controls</span></li><li><span style=""color: rgb(0, 0, 0);""> 17.78 Cm Touch-Screen</span></li><li><span style=""color: rgb(0, 0, 0);""> 4-Speakers</span></li><li><span style=""color: rgb(0, 0, 0);""> Electrically Foldable & Adjustable ORVMs</span></li></ul>",TRUE,5,CNG,Manual,NA,1.2 Litre CNG,Best for enthusiasts,"<ul><li><span style=""color: rgb(0, 0, 0);"">Powerful with great low end torque. Decent fuel efficency but can be a great highway crusier and city car too with it's automatic gearbox</span></li></ul>",,,76 Bhp\r\n98 Nm\r\n5-Speed,,,NA,NA,NA,NA,NA,NA,NA,Remote Keyless Entry,Key Start,NA,Tilt Adjustment,Auto,Single Zone,NA,NA,NA,Manual,Electrically Adjustable,Yes,NA,Yes,NA,NA,2,"<ul><li><span style=""color: rgb(0, 0, 0);"">Driver Airbag And Passenger Airbag</span></li></ul>",NA,"<ul><li><span style=""color: rgb(0, 0, 0);"">NA</span></li></ul>",NA,NA,NA,Yes,NA,NA,2,Yes,Yes,Yes,Yes,Rear,Yes,Yes,Yes,Standard,Rear,7,Wired,4,NA,NA,NA,1,2,NA,NA,1.2L VVT,1197,CNG,Manual,5,NA,76,98,12.1,180,NA,NA,NA,NA,NA,NA,NA,Non-Turbo,NA,Front Wheel Drive,NA,NA,NA,NA,Fabrics,Manually Adjustable,6-Way,6-Way,NA,NA,NA,Halogen Projector,LED,Regular,Body Coloured,NA,On ORVM,NA,170,3990,1745,1500,2520,4.85,"1,030",185/65 R15,185/65 R15,185/65 R15,McPherson strut with Coil,Coupled Torsion Beam Axle with Coil Spring,Yes,37,NA,,1.2 Litre CNG,30.61,23.61,27.61
6603da967a246cf5df82027f,65fe7a708cbe342d88a2dddf,Delta AMT,800000,Base,"<ul><li><span style=""color: rgb(0, 0, 0);"">Full Wheel Cover</span></li><li><span style=""color: rgb(0, 0, 0);""> Nexwave Grille With Chrome Finish</span></li><li><span style=""color: rgb(0, 0, 0);""> Body Coloured Door Handles</span></li><li><span style=""color: rgb(0, 0, 0);""> Steering Mounted Audio Controls</span></li><li><span style=""color: rgb(0, 0, 0);""> 17.78 Cm Touch-Screen</span></li><li><span style=""color: rgb(0, 0, 0);""> 4-Speakers</span></li><li><span style=""color: rgb(0, 0, 0);""> Electrically Foldable & Adjustable ORVMs</span></li></ul>",TRUE,5,Petrol,AMT,NA,1.2 Litre Petrol,An allrounder,"<ul><li><span style=""color: rgb(0, 0, 0);"">Great motor with good performance and fun to drive.</span></li></ul>",88 Bhp\r\n113 Nm\r\n5-Speed,,,,,NA,NA,NA,NA,NA,NA,NA,Remote Keyless Entry,Key Start,NA,Tilt Adjustment,Auto,Single Zone,NA,NA,NA,Manual,Electrically Adjustable,Yes,NA,Yes,NA,NA,2,"<ul><li><span style=""color: rgb(0, 0, 0);"">Driver Airbag And Passenger Airbag</span></li></ul>",NA,"<ul><li><span style=""color: rgb(0, 0, 0);"">NA</span></li></ul>",NA,NA,NA,Yes,NA,NA,2,Yes,Yes,Yes,Yes,Rear,Yes,Yes,Yes,Standard,Rear,7,Wired,4,NA,NA,NA,1,2,NA,NA,1.2L VVT,1197,Petrol,AMT,5,NA,88,113,13.2,180,NA,NA,NA,NA,NA,NA,NA,Non-Turbo,NA,Front Wheel Drive,NA,NA,NA,NA,Fabrics,Manually Adjustable,6-Way,6-Way,NA,NA,NA,Halogen Projector,LED,Regular,Body Coloured,NA,On ORVM,NA,170,3990,1745,1500,2520,4.85,960,185/65 R15,185/65 R15,185/65 R15,McPherson strut with Coil,Coupled Torsion Beam Axle with Coil Spring,Yes,37,318,,1.2 Litre Petrol,22.9,15.9,19.9
6603da967a246cf5df82027f,65fe7a708cbe342d88a2dddf,Zeta,838000,Mid,"<ul><li><span style=""color: rgb(0, 0, 0);"">Auto Headlamps With Follow Me Function</span></li><li><span style=""color: rgb(0, 0, 0);""> Alloy Wheels</span></li><li><span style=""color: rgb(0, 0, 0);""> Fog Lamp Chrome Garnish</span></li><li><span style=""color: rgb(0, 0, 0);""> Suzuki Connect</span></li><li><span style=""color: rgb(0, 0, 0);""> Rear AC Vents</span></li><li><span style=""color: rgb(0, 0, 0);""> Rear Fast Charging USB (Both A & C Type)</span></li><li><span style=""color: rgb(0, 0, 0);""> Push Start/Stop</span></li><li><span style=""color: rgb(0, 0, 0);""> Rear Wiper With Washer</span></li><li><span style=""color: rgb(0, 0, 0);""> Side & Curtain Airbags</span></li><li><span style=""color: rgb(0, 0, 0);""> Rear View Camera</span></li><li><span style=""color: rgb(0, 0, 0);""> Tilt & Telescopic Steering</span></li></ul>",TRUE,5,Petrol,Manual,NA,1.2 Litre Petrol,Best for those seeking mileage,"<ul><li><span style=""color: rgb(0, 0, 0);"">engine is best used for sedate and smooth driving. Its does not like harsh acceleration and has bad NVH levels further up the rev range</span></li></ul>",,,88 Bhp\r\n113 Nm\r\n5-Speed,,,NA,NA,NA,NA,NA,Yes,Yes,Proximity Sensor,Push Button Start & Stop,NA,Tilt & Telescopic Adjustment,Auto,Single Zone,Behind Front Armrest,Yes,NA,Manual,Electrically Adjustable,Yes,NA,Yes,NA,NA,6,"<ul><li><span style=""color: rgb(0, 0, 0);"">Driver, Front Passenger, Curtain, Driver Side, Front Passenger Side</span></li></ul>",NA,"<ul><li><span style=""color: rgb(0, 0, 0);"">NA</span></li></ul>",Yes,Static Guidelines,NA,Yes,NA,NA,2,Yes,Yes,Yes,Yes,Rear,Yes,Yes,Yes,Standard,Rear,7,Wireless,4,2,NA,1,2,1,NA,Geo Fencing,1.2L VVT,1197,Petrol,Manual,5,NA,88,113,12.1,180,NA,NA,NA,NA,NA,NA,NA,Non-Turbo,NA,Front Wheel Drive,NA,NA,NA,NA,Fabrics,Manually Adjustable,8-Way,6-Way,2-Way,NA,NA,LED Projector,LED,Regular,Body Coloured,NA,On ORVM,Yes,170,3990,1745,1500,2520,4.85,955,195/55 R16,195/55 R16,185/65 R15,McPherson strut with Coil,Coupled Torsion Beam Axle with Coil Spring,Yes,37,318,,1.2 Litre Petrol,22.3,15.3,19.3
